,station_id,station_name,year,snow,t_mean,lon,lat
265,252150120,GORZYŃ,2002,3,-9.2,15.9,52.566667
266,252150180,LUBINICKO-ŚWIEBODZIN,2002,0,-7.5,15.55,52.25
267,252160110,SZAMOTUŁY-BABORÓWKO,2002,2,-9.6,16.633333,52.583333
268,252160160,PAPROĆ,2002,1,-8.8,16.183333,52.3
269,252160230,WIELICHOWO,2002,0,-8.8,16.35,52.116667
270,252170110,GNIEZNO,2002,2,-12.6,17.566667,52.55
271,252170190,SŁUPCA,2002,0,-14.5,17.866667,52.283333
272,252170210,KÓRNIK,2002,2,-11.4,17.1,52.25
273,252180080,KOŁUDA WIELKA,2002,4,-15.3,18.15,52.733333
274,252190030,GŁODOWO,2002,0,-15.9,19.233333,52.833333
275,252200060,POŚWIĘTNE,2002,8,-16.2,20.383333,52.633333
276,252200120,LEGIONOWO,2002,7,-14.9,20.966667,52.4
277,252200150,WARSZAWA-BIELANY,2002,8,-14.1,20.966667,52.283333
278,252210050,PUŁTUSK,2002,12,-16.3,21.001667,52.067778
279,252210170,WARSZAWA-OBSERWATORIUM II,2002,8,-14.6,21.033333,52.216667
280,252220030,SZEPIETOWO,2002,17,-15.6,22.55,52.85
281,252230120,BIAŁOWIEŻA,2002,14,-17.3,23.85,52.7
282,252230190,CICIBÓR,2002,7,-16.2,23.116667,52.083333
283,253140060,GOLENIÓW,2002,3,-7.3,14.893056,53.593056
284,253150190,PRZELEWICE,2002,3,-8.6,15.083333,53.1
285,253160090,WIERZCHOWO,2002,2,-11.5,16.116667,53.466667
286,253170210,CHRZĄSTOWO,2002,3,-15.1,17.583333,53.183333
287,253180020,RADOSTOWO,2002,0,-16.2,18.75,53.983333
288,253180090,ŚLIWICE,2002,12,-14.8,18.183333,53.7
289,253180150,GRUDZIĄDZ,2002,6,-13.9,18.716667,53.433333
290,253180220,BYDGOSZCZ,2002,9,-14.6,17.966667,53.1
291,253190030,DOBROCIN,2002,15,-18.1,19.833333,53.916667
292,253190070,PRABUTY,2002,8,-16.1,19.216667,53.733333
293,253190220,LIDZBARK,2002,18,-14.7,19.833333,53.25
294,253210130,SZCZYTNO,2002,13,-13.8,21.016667,53.583333
295,253210210,MYSZYNIEC,2002,12,-14.4,21.35,53.383333
296,253220070,BIEBRZA-PIEŃCZYKÓWEK,2002,14,-14.9,22.6,53.65
297,253230020,RÓŻANYSTOK,2002,12,-17.3,23.4,53.633333
298,254140010,DZIWNÓW,2002,3,-5.9,14.733333,54.016667
299,254160020,DARŁOWO,2002,0,-10.0,16.383333,54.45
300,254160110,MIASTKO,2002,7,-13.9,16.983333,54.016667
301,254170040,KARŻNICZKA,2002,0,-11.5,17.233333,54.483333
302,254170140,KOŚCIERZYNA,2002,8,-14.0,17.966667,54.133333
303,254180010,ROZEWIE,2002,9,-9.6,18.333333,54.833333
304,254180060,GDYNIA,2002,7,-8.9,18.566667,54.516667
305,254180090,GDAŃSK-RĘBIECHOWO,2002,8,-13.8,18.466667,54.383333
306,254180110,GDAŃSK-ŚWIBNO,2002,5,-15.6,18.933333,54.333333
307,254180170,LISEWO,2002,14,-16.1,18.833333,54.1
308,254190050,FROMBORK,2002,8,-15.7,19.683333,54.366667
309,254190120,KMIECIN,2002,9,-17.3,19.166667,54.183333
310,254200080,LIDZBARK WARMIŃSKI,2002,13,-17.3,20.6,54.133333
311,254220030,GOŁDAP,2002,11,-18.0,22.316667,54.316667
312,254220090,OLECKO,2002,16,-15.1,22.483333,54.05
313,249180010,PSZCZYNA,2003,0,-7.0,18.916667,50.0
314,249180130,CIESZYN,2003,2,-5.9,18.633333,49.75
315,249180160,BRENNA,2003,2,-6.0,18.871667,49.754167
316,249180230,WISŁA,2003,8,-8.6,18.866667,49.65
317,249180260,ISTEBNA-KUBALONKA,2003,37,-9.9,18.9,49.6
318,249190090,INWAŁD,2003,1,-7.6,19.433333,49.883333
319,249190190,MAKÓW PODHALAŃSKI,2003,6,-11.6,19.683333,49.733333
320,249190330,NOWY DWÓR,2003,2,-9.8,19.166667,49.65
321,249190350,ZAWOJA,2003,25,-11.6,19.516667,49.616667
322,249190370,RABKA,2003,10,-12.9,19.966667,49.616667
323,249190480,LALIKI,2003,26,-9.8,19.016667,49.55
324,249190520,OBIDOWA,2003,24,-11.6,19.966667,49.55
325,249190560,JABŁONKA,2003,14,-19.7,19.7,49.466667
326,249190670,POLANA CHOCHOŁOWSKA,2003,29,-10.5,19.783333,49.233333
327,249190680,HALA ORNAK,2003,32,-14.4,19.866667,49.233333
328,249200020,ŁAZY,2003,0,-8.6,20.5,49.966667
329,249200070,DOBCZYCE,2003,1,-7.2,20.066667,49.883333
330,249200130,JASTRZĘBIA,2003,2,-12.1,20.9,49.783333
331,249200180,LIMANOWA,2003,3,-8.7,20.433333,49.683333
332,249200240,PTASZKOWA,2003,10,-8.9,20.883333,49.6
333,249200260,ŁĄCKO,2003,0,-10.3,20.439444,49.559444
334,249200320,ŁOPUSZNA,2003,15,-20.5,20.133333,49.483333
335,249200360,MIZERNA,2003,16,-16.7,20.283333,49.466667
336,249200370,KROŚCIENKO,2003,6,-13.7,20.433333,49.45
337,249200410,PIWNICZNA,2003,9,-14.1,20.7,49.433333
338,249200420,NIEDZICA,2003,10,-16.6,20.316667,49.416667
339,249200470,KRYNICA,2003,16,-15.6,20.966667,49.416667
340,249200480,BUKOWINA TATRZAŃSKA,2003,33,-9.9,20.116667,49.35
341,249200490,MUSZYNA,2003,17,-17.4,20.883333,49.35
342,249200510,PORONIN,2003,22,-16.8,20.033333,49.333333
343,249200540,HALA GĄSIENICOWA,2003,50,-7.0,20.005833,49.244167
344,249200550,DOLINA PIĘCIU STAWÓW,2003,70,-7.4,20.05,49.216667
345,249210070,BIECZ-GRUDNA,2003,0,-10.1,21.25,49.733333
346,249210140,DUKLA,2003,3,-10.1,21.683333,49.566667
347,249210230,WYSOWA,2003,15,-15.7,21.183333,49.433333
348,249210240,BARWINEK,2003,9,-14.7,21.683333,49.433333
349,249220040,DYNÓW,2003,0,-9.0,22.233333,49.833333
350,249220080,SANOK-TREPCZA,2003,0,-8.6,22.183333,49.583333
351,249220150,SOLINA-JAWOR,2003,3,-9.4,22.466667,49.4
352,249220170,BALIGRÓD-MCHAWA,2003,2,-12.4,22.283333,49.35
353,249220180,KOMAŃCZA,2003,14,-13.9,22.066667,49.333333
354,249220210,TERKA,2003,2,-11.7,22.433333,49.3
355,249220280,STUPOSIANY,2003,5,-15.6,22.683333,49.183333
356,250140030,BOGATYNIA,2003,0,-3.5,14.983333,50.9
357,250150090,ŚWIERADÓW-ZDRÓJ,2003,15,-2.7,15.334718,50.909222
358,250150150,SZKLARSKA PORĘBA,2003,10,-1.2,15.533333,50.833333
